ProductID,ProductName,ProductGroupID,Price,StockQuantity,Description,Manufacturer,WarrantyPeriod,ReleaseDate,SKU,Weight,Dimensions
1,Opportunity,5,3.7,177,Popular everybody middle say key law create.,Humphrey-Wright,1 years,2019-09-28,Mz-69542729,370.28,47x37x37 cm
2,Through,8,1.68,363,Material serve heavy establish black either.,Henderson-Walsh,4 years,2020-10-03,QD-15913559,734.47,47x36x11 cm
3,Believe,7,1.29,139,Member interest some wind rule brother response meet better develop why section.,Warner Inc,3 years,2023-11-05,Kn-23429154,467.93,34x30x27 cm
4,Pass,14,51.72,776,Line pass guy capital discover Mr local west.,Rodgers-Stevens,1 years,2020-02-24,Hr-45274455,167.36,28x6x22 cm
5,Board,18,10.6,449,Family way minute firm able heavy.,Reynolds Group,3 years,2023-05-26,er-63806505,389.94,11x14x38 cm
6,Total,20,15.1,756,Section sure conference point same among billion region number.,Taylor Inc,3 years,2022-10-15,gu-47237193,357.32,46x28x17 cm
7,Seek,19,12.79,50,Operation ability help our yard although under up religious building.,Klein Ltd,3 years,2022-03-08,KY-16689567,41.35,26x50x7 cm
8,Control,20,11.97,142,Mind one fine safe or throw skin.,Haley and Sons,1 years,2023-05-11,qb-49248268,262.43,13x4x22 cm
9,Yet,4,28.21,261,This them true exist Mr arrive happen campaign indeed participant how watch.,Page-Rogers,2 years,2024-01-09,ep-98469779,28.44,40x47x40 cm
10,Fire,7,1.09,434,Window experience manage ground hospital discuss may health win stage answer.,"Garcia, Calhoun and Brandt",2 years,2022-07-07,xz-95413823,411.84,34x12x41 cm
11,Available,4,21.46,577,Month gun economy customer once across man benefit budget keep.,"Cordova, Marshall and Terry",1 years,2023-02-13,RC-72563076,16.45,31x1x46 cm
12,Parent,13,20.96,597,Character four long understand list win onto create strategy enjoy.,"Beltran, Harper and Kelly",2 years,2021-11-20,lr-53368899,205.7,29x46x3 cm
13,Medical,12,52.9,920,Relate present reflect lawyer star finally late feeling.,Molina-Morgan,5 years,2024-05-18,vC-86310941,99.88,20x6x30 cm
14,Performance,2,10.56,700,During special bar will summer easy send establish.,Gonzalez-Baker,3 years,2021-03-31,Sp-19914508,758.24,27x18x17 cm
15,Usually,7,36.1,994,Also experience himself eat read participant action.,"Simpson, Franco and Lucas",3 years,2021-02-17,UL-17683062,229.82,7x34x22 cm
16,Most,17,90.38,251,Decade box green hope suffer past its available window sometimes executive even view.,Thomas LLC,2 years,2020-02-06,kT-95273216,417.02,43x19x14 cm
17,Official,9,70.43,949,Game trial minute soon station reality.,Cooper-Moses,3 years,2021-05-05,wr-09688889,615.81,26x15x27 cm
18,Five,9,0.4,407,Process song buy environmental off order around painting admit necessary cold but.,"Wilson, Callahan and White",1 years,2023-07-17,zH-85174750,128.42,2x17x17 cm
19,Society,20,61.56,735,Fly activity board marriage alone hit ten late cell early girl.,Turner Inc,1 years,2021-08-25,xS-80875449,681.56,46x2x16 cm
20,Table,16,3.85,545,Commercial beautiful knowledge tough someone could research.,Weaver LLC,4 years,2021-05-08,mB-44961283,148.15,11x10x31 cm
21,Center,9,12.25,134,Chair real do tough town see spend.,Daugherty-Mathews,4 years,2020-02-15,DH-36550985,151.35,17x32x26 cm
22,Party,12,20.17,20,Care buy senior which would toward.,Schneider Group,5 years,2020-10-18,oK-63246216,413.88,26x20x43 cm
23,Century,14,54.73,271,Type information break she be house news me.,"Armstrong, Summers and Gilbert",2 years,2023-02-05,kZ-75860846,228.9,25x28x32 cm
24,Process,9,12.88,147,Painting on last speak general these year but direction movie certain.,Rogers-Goodman,4 years,2023-06-10,JJ-94047289,222.82,3x17x11 cm
25,Fund,18,5.79,352,Attorney might cultural we hit box agreement natural enjoy.,Bryant LLC,3 years,2021-10-28,yp-21601676,75.43,17x25x11 cm
26,Better,16,8.53,429,Oil Democrat address despite agency they into serious truth price learn base anyone.,"Williams, Davila and Campbell",3 years,2024-02-16,XS-58846403,80.67,47x33x26 cm
27,Any,18,0.03,601,Now ability fact successful only they present nearly create activity.,Griffin Group,2 years,2020-05-24,uy-02998190,463.62,9x50x10 cm
28,Join,3,34.02,931,Administration daughter chair response clear character.,"Williams, Chapman and Hansen",1 years,2020-02-04,Nt-68565280,372.27,26x28x46 cm
29,Use,16,67.35,643,Country effort kid industry us care four bill success.,"Thornton, Brennan and Walker",1 years,2020-01-21,ui-11268517,93.62,19x4x27 cm
30,Couple,3,68.9,286,Direction contain after usually character gas television who window when speech strategy.,Henderson-Rodriguez,5 years,2023-03-11,Ha-92485685,322.55,46x9x1 cm
31,Answer,1,2.52,660,Car style measure performance summer drop realize everyone agreement.,White and Sons,4 years,2022-10-01,UZ-73805337,216.33,49x50x34 cm
32,Try,9,9.82,178,Nothing better never certain manage people we.,Watson-Cobb,2 years,2021-01-12,WU-68905430,190.67,26x41x49 cm
33,Around,12,14.4,781,Fall strategy spring man now sing contain when key benefit upon certain attention race.,Lloyd-Reed,2 years,2020-02-09,pv-45687016,403.09,43x16x41 cm
34,Senior,18,41.0,966,Model agency color not pretty nothing yard significant which part general rate.,Williams-Reid,3 years,2023-05-03,RJ-68501981,267.02,37x16x34 cm
35,Official,4,17.56,328,Behavior unit support mission certain where executive foot Congress production.,Williams-Patterson,5 years,2024-02-15,Ih-93328333,286.5,4x26x46 cm
36,Perform,20,32.06,423,Wear citizen speak miss enter across government knowledge eat explain build system media.,Smith-Miller,2 years,2020-08-25,wN-91563008,16.32,5x5x47 cm
37,Stay,8,0.97,910,Per region change recent involve magazine because include social edge.,"Gilbert, Martin and Warren",1 years,2021-07-30,LU-35890800,422.19,19x4x11 cm
38,Require,6,61.42,852,Or at sing specific down skin bar.,Jones and Sons,1 years,2020-02-25,Eb-84670516,597.13,2x46x43 cm
39,Leader,16,36.07,359,Fine general join suddenly recently own truth action agent crime exist.,"Hickman, Mccoy and Riggs",4 years,2020-09-04,CB-91339967,198.81,21x42x21 cm
40,Catch,6,14.35,201,Management would throughout space tonight edge arm last one enough phone including single.,Bentley Ltd,5 years,2022-05-26,eu-93482374,467.89,16x10x22 cm
41,Against,1,4.04,770,Contain member center reduce second magazine.,Leonard-Castaneda,2 years,2021-11-18,sO-38526186,845.87,38x30x41 cm
42,On,10,23.93,857,Actually who his record wide board chair sister old safe season theory.,"Todd, Williams and Porter",2 years,2023-07-30,EZ-02385621,278.22,17x37x43 cm
43,Commercial,18,12.23,930,Free camera tonight thank child might agreement.,Campbell-Moon,3 years,2023-07-07,jn-68873859,212.16,17x28x15 cm
44,Thus,20,16.16,902,Suggest list six red will news action.,Sandoval and Sons,1 years,2019-11-28,Kk-13997696,335.22,1x14x44 cm
45,Safe,11,15.58,685,Campaign usually report factor represent fish style candidate result investment machine.,Zavala-Whitaker,2 years,2024-02-07,Vd-36048321,14.84,28x19x48 cm
46,Sure,9,26.18,852,Throw final local ahead marriage sometimes thousand left difficult source.,Burch PLC,3 years,2022-09-21,RP-47706505,65.47,46x28x17 cm
47,With,4,6.89,666,Tell free grow nothing hour bank only conference subject.,Guerrero and Sons,1 years,2020-12-11,aC-88673797,76.19,8x13x5 cm
48,Well,15,8.65,59,Side seek team behavior security trade go allow a need now cold.,"Raymond, Gordon and Martinez",2 years,2024-01-22,Eu-07225383,32.23,12x39x40 cm
49,Realize,7,35.39,136,Affect cup describe physical give measure group born western cell treatment think parent.,"Simmons, Ramirez and Wilson",4 years,2020-03-02,vo-18410751,266.43,46x10x42 cm
50,A,9,77.56,438,Two then analysis black they perhaps national baby reality challenge.,Johnson-Green,2 years,2019-10-16,AQ-75128241,171.65,31x33x11 cm
51,Sense,13,54.28,336,Past condition serve huge space reality wish actually turn might together take short then.,"Howell, Brown and King",5 years,2021-11-14,VJ-72755807,54.18,45x21x19 cm
52,Out,12,15.51,867,Bit because both trouble with assume feeling why.,Johnson Ltd,1 years,2022-07-25,wG-05392244,413.96,10x14x14 cm
53,Court,20,18.22,567,Protect stay event front behind half.,Osborne and Sons,5 years,2023-01-01,XH-84591558,649.69,31x21x41 cm
54,Possible,15,3.28,700,Beautiful news nation guy have consumer beat economic lot give inside.,"Cook, Lopez and Wood",2 years,2024-02-29,fA-79217705,496.6,48x12x2 cm
55,Enough,14,8.16,840,Assume culture their live sure part hundred scene edge really red executive free.,"Ferrell, Gibson and Terry",2 years,2019-09-09,Bo-34202310,46.49,33x32x6 cm
56,Network,3,15.17,791,System full tonight next home turn ago mother.,Beard-Brown,2 years,2022-06-06,SW-80620893,63.24,50x24x31 cm
57,Police,20,12.4,737,Share fall note gas back push key single only wait.,Flores-Gomez,4 years,2021-04-21,Qx-00184299,449.02,27x38x16 cm
58,Authority,8,4.02,481,Against understand color free future and cell main director you have.,Arnold-Reyes,4 years,2023-01-29,uM-27479849,292.54,13x15x7 cm
59,Imagine,4,9.9,180,Weight single his court serious response line.,Nguyen and Sons,1 years,2021-02-14,Xd-21715250,330.08,21x35x40 cm
60,Into,9,54.96,121,Wonder cause pattern TV west single half middle claim push measure machine decide.,"Oliver, Wagner and Harris",2 years,2023-12-11,zQ-81826545,130.61,23x6x27 cm
61,Involve,16,26.02,901,Finish draw night show hear exist fire cultural.,Stewart-Torres,1 years,2020-02-26,aF-44212093,233.59,37x33x21 cm
62,Expert,10,62.17,963,Talk heart senior sure job seem fill practice right others.,Holmes-King,3 years,2021-04-21,DA-14765059,165.22,43x3x39 cm
63,Never,6,21.94,17,Onto article yet agency some threat room environmental prevent player.,"Kirk, Wu and Porter",3 years,2021-02-16,fv-02888079,704.1,32x46x32 cm
64,Personal,13,11.88,687,Movie water record business help best Mr professional.,Schaefer Ltd,5 years,2021-04-17,kb-28397529,133.46,43x10x42 cm
65,Land,17,29.13,857,Hope avoid often investment brother majority decide part something analysis bill ever energy.,"Jones, Bates and Jones",1 years,2021-03-07,zk-40511974,259.16,4x37x49 cm
66,Take,19,12.33,492,See account impact occur back plant by it.,"Davidson, Gonzalez and Gibbs",1 years,2020-09-23,Dc-39088093,16.22,29x12x8 cm
67,Down,14,6.8,339,Hear hear back baby others manage fire field.,"Thomas, Vazquez and Patterson",5 years,2023-10-03,qA-68401199,143.07,38x21x20 cm
68,He,1,8.32,313,Everything first father nothing stuff let onto lose mean loss analysis home.,"Dean, Koch and Reed",4 years,2019-09-03,Jh-56441067,170.58,31x22x38 cm
69,Class,11,7.69,696,Buy include reach activity citizen game ok include ok author future candidate already.,"Hodges, Smith and Morrison",5 years,2021-01-24,nG-96441595,240.7,41x24x35 cm
70,Force,6,58.51,379,Reach own when beat accept manager method ground Republican we part.,Flowers PLC,3 years,2022-12-18,WG-13866120,162.5,29x18x11 cm
71,Never,12,4.01,980,Possible federal statement natural very special.,"Jackson, Gill and Turner",5 years,2020-07-18,bc-62665639,36.56,33x35x28 cm
72,Cup,16,49.76,657,Program we admit throw quite economic religious theory.,"Casey, Miranda and Moreno",5 years,2020-02-17,tU-08414640,219.75,39x48x5 cm
73,Audience,14,79.13,802,Part community suffer production left view these let feeling.,"Banks, George and James",1 years,2020-11-10,cP-35656271,123.03,8x29x45 cm
74,Contain,1,10.9,181,Green example kind suffer professional interesting firm Congress Republican end star long clearly.,Porter LLC,1 years,2020-12-30,iP-19398102,297.36,25x6x4 cm
75,Mean,12,3.36,45,Customer song strong whether three because bill space dream help full necessary.,Gonzalez-Thompson,4 years,2020-09-21,Hp-81381716,102.73,15x50x2 cm
76,Eye,17,61.1,873,Factor science daughter explain wall indeed building lose.,Dean-Watson,2 years,2022-01-26,CQ-11599434,45.66,9x43x28 cm
77,Catch,11,18.08,695,Pick senior suffer property environmental let management bad peace argue seven democratic themselves.,Daniels-Vargas,4 years,2020-05-02,dg-05349635,639.66,25x29x27 cm
78,Customer,14,69.81,545,Operation late skin real kind low speech wonder.,"Jones, Pearson and Barnes",2 years,2020-03-17,Pi-83803207,205.0,36x6x10 cm
79,Red,11,10.5,277,Safe weight figure such office help can woman will project.,Smith-Miller,3 years,2021-02-15,SB-18991079,265.01,36x20x38 cm
